MPUs,Linux BSP Plus,VLP ^[*1](#tf:1)^{: #tfref:1 },Ubuntu/Debian,SDK,AOSP
RZ/G1H&comma;M&comma;N&comma;E&comma;C,,✓,,,
RZ/G2H&comma;M&comma;N&comma;E,,✓,,,
RZ/G2L,✓,✓,✓,✓ (HMI SDK),
RZ/G2LC,✓,✓,,✓ (HMI SDK),
RZ/G2UL,✓,✓,,✓ (HMI SDK),
RZ/FIVE,,✓,,,
RZ/G3S,✓,✓,,,
RZ/G3E,^[*2](#tf:2)^{: #tfref:2 },✓,✓,✓ (HMI SDK),
RZ/G3L,✓,,,✓ (HMI SDK),
RZ/V2M,,✓,,,
RZ/V2MA,,✓,,,
RZ/V2L,^[*2](#tf:2)^{: #tfref:2 },✓,,✓ (AI SDK),
RZ/V2H,^[*2](#tf:2)^{: #tfref:2 },,,✓ (AI SDK),✓
RZ/V2N,^[*2](#tf:2)^{: #tfref:2 },,,✓ (AI SDK),
RZ/T2H,✓,✓,,,
RZ/N2H,✓,✓,,,
